risk_score,age,horizon_years,goal_encoded,monthly_sip,income_category,fund_category
4.4,46,15,2,45232,0,2
8.5,55,2,3,38319,0,2
3.1,64,30,2,2399,2,6
4.5,43,21,1,23983,2,6
6.1,46,18,1,6175,1,6
7.7,64,21,3,12685,0,4
1.0,28,19,0,33659,2,1
4.3,41,5,2,19615,1,6
5.7,32,26,1,23919,0,2
2.8,30,7,2,28390,1,1
3.9,45,25,2,24276,0,2
2.1,61,24,2,8494,1,6
2.3,34,27,0,29173,1,6
6.3,28,24,2,13188,2,2
7.3,20,20,3,47511,2,4
7.1,42,18,2,22418,1,4
6.0,49,27,2,43516,0,2
9.1,37,30,2,3057,0,5
3.1,38,16,3,22899,2,6
5.4,25,27,2,49877,0,2
2.6,45,30,0,17953,0,1
3.8,49,23,0,20278,1,1
5.7,19,26,0,28251,0,2
1.0,53,13,3,2868,1,1
5.9,39,26,1,31524,1,6
1.5,47,15,2,40234,0,1
1.7,26,12,0,1581,1,6
6.0,39,29,2,8630,1,6
5.3,43,26,3,29722,0,4
5.5,22,13,3,28163,2,4
8.4,29,3,0,38804,1,6
4.5,27,26,1,917,2,6
2.6,26,24,3,49316,2,5
7.8,58,30,0,45412,1,1
9.6,48,20,2,5986,0,5
9.8,31,26,0,24214,2,5
3.0,26,18,2,19565,1,6
7.8,23,28,2,35078,0,4
7.7,25,29,2,42844,2,4
1.1,49,13,0,38178,0,1
3.7,18,21,1,41321,2,6
2.7,43,8,1,40751,1,6
3.4,30,14,2,45945,1,1
8.0,35,15,0,24333,2,4
7.2,22,5,1,15606,0,2
2.9,18,17,3,43283,1,5
6.0,47,27,0,23428,2,1
6.3,47,15,2,10709,0,2
5.4,37,24,0,27669,1,2
2.2,25,4,3,43179,0,5
2.6,38,6,0,39644,1,6
2.4,65,29,0,30221,0,1
7.5,43,14,2,46891,2,4
3.4,54,28,1,1562,0,1
5.3,53,15,1,14869,2,6
9.9,54,25,0,27785,0,1
5.7,57,5,3,9611,2,2
7.5,28,8,1,47014,0,4
3.6,54,30,2,32754,0,2
3.3,54,9,0,28034,1,1
2.6,52,1,3,36659,1,1
6.7,21,25,0,17949,0,4
4.2,64,23,1,18881,0,2
6.6,47,7,2,33687,0,4
4.1,55,13,2,29986,0,2
7.2,53,26,2,35384,2,6
1.9,50,15,3,34095,2,6
4.8,46,14,3,3868,1,6
3.0,32,21,2,10024,0,1
5.3,44,17,3,46494,2,6
6.7,45,18,0,28196,2,4
4.6,36,30,3,3217,0,2
5.3,47,6,2,12842,2,2
4.7,20,24,2,11182,2,2
7.5,63,11,3,41624,1,4
6.2,35,2,0,23736,2,4
3.7,39,12,3,46148,1,6
4.6,26,22,1,41901,0,2
6.9,29,23,0,41309,1,4
4.8,45,30,1,36897,1,6
7.5,56,8,2,29269,2,6
5.5,62,11,1,47804,1,6
1.7,61,12,2,20433,1,6
5.9,41,19,3,12754,0,2
7.0,49,10,3,5306,0,4
9.5,35,30,3,26010,2,5
4.1,40,12,2,29035,0,2
