fund_category_encoded,horizon_years,risk_score,market_condition,expense_ratio,aum_category,sip_amount,age,pessimistic_return,base_return,optimistic_return
6,20,9.6,2,1.97,0,6765,36,11.01,16.57,23.43
5,6,1.0,0,1.58,1,29193,61,5.54,17.45,25.29
5,19,4.4,0,0.21,2,42106,38,7.74,16.99,34.72
3,29,8.5,2,2.28,1,4443,21,9.57,15.73,22.59
7,15,1.8,2,1.35,1,24776,33,13.55,23.26,31.3
4,1,1.1,0,1.95,2,5758,34,9.11,14.6,19.71
3,7,8.7,1,0.33,2,35722,41,8.31,13.98,16.99
5,7,1.4,2,1.13,1,23919,30,14.04,29.72,34.22
4,23,6.4,2,1.91,0,16698,39,16.06,20.11,25.24
5,11,3.9,2,2.25,2,24276,18,11.76,20.8,37.82
4,1,2.1,2,0.5,0,47076,29,15.3,22.45,24.07
1,21,5.4,1,0.68,2,33470,34,6.88,9.16,13.05
7,16,8.5,2,0.55,0,26870,37,10.51,21.67,36.88
7,1,7.1,0,0.37,2,22418,47,5.05,13.11,22.67
0,2,10.0,1,2.25,0,30355,26,4.14,6.23,7.27
7,30,9.5,0,0.11,1,12469,52,7.0,14.02,28.42
3,24,6.8,2,1.83,0,5055,39,11.52,14.56,22.18
5,1,6.2,0,0.57,0,9507,36,9.63,19.87,22.15
5,21,9.0,0,2.39,0,31716,63,8.91,20.1,32.78
7,18,6.0,2,2.13,2,35163,63,10.32,22.37,33.85
1,26,7.7,0,0.43,1,40611,56,3.05,7.74,8.91
7,14,8.2,2,0.91,1,13621,49,12.48,17.53,34.26
1,26,1.3,1,2.07,1,15838,54,5.16,8.38,9.95
6,3,6.7,0,2.43,1,18577,36,7.56,8.93,14.36
1,26,2.4,1,0.68,1,20556,57,6.54,10.1,10.85
5,25,4.1,0,0.33,1,30945,22,8.99,15.6,28.76
5,5,4.6,1,2.38,1,40658,27,11.53,21.0,32.89
0,28,6.3,2,2.02,1,12438,50,6.66,9.77,11.88
1,11,2.8,0,0.62,1,12661,52,2.27,6.3,7.76
1,21,4.1,2,2.21,0,24048,53,6.82,10.74,13.69
1,17,8.0,2,2.33,0,45311,30,8.08,11.77,11.9
2,17,1.5,0,2.27,0,35770,45,6.98,11.37,16.26
2,12,4.0,2,0.61,0,1667,56,11.36,19.03,19.86
1,15,2.3,1,2.11,0,12016,55,5.49,8.48,10.08
4,29,1.8,2,1.5,0,26932,39,16.38,25.35,27.77
1,19,2.0,2,0.71,1,9935,37,9.4,11.41,15.39
5,25,4.4,0,0.3,0,38297,23,10.37,22.73,30.81
0,18,2.5,0,1.77,2,42856,20,0.87,4.14,4.88
7,26,2.7,1,1.03,1,33807,45,10.31,16.95,28.09
2,29,9.5,2,1.84,2,10636,19,10.45,17.36,21.33
5,1,5.3,2,0.46,0,24333,42,15.22,25.21,35.69
5,28,8.3,2,1.9,2,24074,54,14.09,25.33,33.65
0,19,3.5,1,2.21,1,36687,48,4.17,7.95,9.11
4,30,8.9,0,1.52,2,20258,40,9.34,14.77,23.81
3,2,4.2,1,1.63,2,23886,51,9.51,10.75,14.04
7,5,9.8,0,0.93,1,37086,60,4.43,12.25,20.76
7,4,4.1,2,2.2,2,4688,49,9.92,17.14,23.78
1,14,4.3,1,0.89,2,24124,43,6.28,9.07,10.55
0,8,7.7,0,2.47,2,17522,39,0.61,2.82,4.46
2,15,1.3,1,1.17,2,35174,32,10.45,16.65,18.25
5,26,5.8,0,2.24,0,43063,27,10.63,19.43,23.34
2,10,3.6,1,2.26,1,10667,62,10.45,13.86,14.08
7,4,8.7,1,0.78,2,20619,26,7.52,18.59,28.44
0,30,2.5,2,2.07,1,1346,28,7.21,9.0,11.18
2,20,5.6,0,1.37,0,39501,31,8.47,10.8,14.36
1,5,1.6,1,0.87,1,34887,18,5.94,7.93,8.2
2,30,2.0,0,2.09,1,2408,28,7.62,10.33,13.12
0,5,2.8,1,2.08,0,19782,31,4.58,5.96,6.67
6,8,4.4,2,1.6,0,22026,32,12.74,16.11,20.31
5,6,4.0,2,0.9,2,6288,50,14.01,26.63,34.84
4,27,7.7,1,0.59,1,32765,22,13.45,17.32,28.77
6,4,7.5,1,0.13,2,40166,53,10.83,12.53,20.83
6,26,9.5,1,1.51,1,44741,42,9.37,16.21,21.18
2,29,1.9,0,2.32,2,35060,63,5.88,9.26,14.2
