age,monthly_income,monthly_savings,savings_rate,horizon_years,risk_appetite_encoded,existing_investments,dependents,income_stability,risk_category
56,166867,5860,0.035,15,2,644167,4,1,2
28,394871,131324,0.333,4,2,329365,4,1,3
61,347069,204041,0.588,28,0,214176,3,1,0
45,22747,5189,0.228,30,2,953277,2,1,4
20,351236,8890,0.025,7,0,256840,1,1,1
37,271995,125174,0.46,28,2,572843,4,1,4
52,100077,40920,0.409,4,1,724839,3,1,1
46,458974,207283,0.452,2,1,223165,3,1,1
65,31534,17743,0.563,14,2,353531,0,1,3
64,29268,9887,0.338,26,0,742139,3,1,0
58,58044,23446,0.404,13,0,48984,0,1,0
52,81858,17666,0.216,5,1,288998,1,0,0
24,290536,35535,0.122,12,1,838688,5,1,2
44,390210,206664,0.53,3,0,139182,5,1,0
22,118806,11910,0.1,14,2,645914,0,1,4
49,268550,127096,0.473,20,0,110687,3,1,1
40,222982,61044,0.274,15,2,774684,3,1,3
45,63585,7693,0.121,28,1,960445,2,1,3
45,435192,49262,0.113,30,0,685440,0,1,1
44,245928,124101,0.505,5,0,537833,3,0,0
49,88840,51576,0.581,26,1,65318,1,1,3
49,289536,60680,0.21,19,1,513153,4,1,2
49,177381,92455,0.521,23,2,622794,2,0,4
51,478949,94045,0.196,11,2,867055,0,0,2
23,71663,20708,0.289,3,2,112547,2,1,3
24,234835,89896,0.383,8,2,887121,0,1,4
42,394705,52254,0.132,30,1,554594,3,0,1
19,182688,108727,0.595,30,0,117796,2,0,2
58,400002,178714,0.447,16,2,528787,5,1,3
25,287683,131063,0.456,30,0,737378,0,0,2
63,139121,82505,0.593,22,2,454351,4,0,2
38,155059,63871,0.412,8,2,610704,0,1,4
39,301974,153501,0.508,14,1,473125,5,1,2
51,461620,141672,0.307,5,0,729903,2,1,0
34,207563,23589,0.114,29,1,298356,5,1,3
52,479451,129019,0.269,29,0,268246,0,1,0
35,185656,37745,0.203,22,1,365890,5,0,2
19,196089,71320,0.364,8,0,630152,2,1,1
56,74748,10801,0.144,23,1,235362,1,1,2
53,352460,7368,0.021,8,1,594319,5,1,0
40,144046,18403,0.128,2,1,666326,5,1,0
59,409957,189078,0.461,22,2,461243,4,1,3
61,199819,119692,0.599,7,1,721772,3,1,1
33,114476,42233,0.369,28,1,870045,2,1,3
36,48251,10177,0.211,23,1,877284,1,1,3
18,348761,21896,0.063,15,1,177247,5,0,2
42,196615,61556,0.313,21,0,134415,4,1,1
20,236139,72215,0.306,19,0,203861,0,1,2
45,467556,180150,0.385,17,1,78781,3,0,1
47,308790,109185,0.354,10,1,360260,3,0,1
48,216489,28289,0.131,19,1,271967,0,1,3
33,386326,167049,0.432,17,2,721747,3,1,4
50,24000,10052,0.419,19,2,251492,3,1,3
34,376441,30351,0.081,29,1,932809,1,1,3
58,302502,8267,0.027,26,0,824945,4,1,0
53,326569,43756,0.134,9,2,114352,2,1,2
35,90640,39911,0.44,24,2,400573,4,0,4
52,434568,191141,0.44,17,0,538685,3,1,0
39,139180,71234,0.512,19,0,79459,3,1,1
45,495853,56934,0.115,20,2,454137,4,0,3
29,240184,92508,0.385,4,0,322710,0,0,0
28,26801,9846,0.367,12,0,154697,1,1,2
55,21542,10293,0.478,13,1,718216,1,1,2
55,309106,33295,0.108,16,0,157504,5,1,0
24,188152,6324,0.034,4,1,744699,2,1,3
43,244786,20485,0.084,3,0,529036,1,1,0
37,206843,62799,0.304,29,2,173416,0,1,4
42,315735,108333,0.343,21,1,460857,3,1,2
62,316764,133148,0.42,16,1,355540,2,1,2
35,353870,22640,0.064,17,1,259214,0,1,3
20,170159,46430,0.273,25,2,865291,1,1,4
45,401300,165775,0.413,26,1,364167,1,0,3
45,440571,239340,0.543,9,2,702965,0,0,3
65,102844,32532,0.316,14,2,118012,5,1,1
22,70990,15136,0.213,2,1,478007,5,1,1
49,262926,117816,0.448,11,0,285977,0,1,1
44,499920,156456,0.313,2,0,105570,0,0,0
22,380286,145932,0.384,6,2,50612,4,1,3
27,183273,58330,0.318,17,0,449613,0,0,1
18,319888,181615,0.568,2,2,138311,1,1,4
20,114074,37049,0.325,12,0,640053,3,1,1
65,301342,155830,0.517,23,2,1252,4,1,3
28,335826,64494,0.192,6,1,6949,1,1,3
51,496467,255875,0.515,30,2,707689,2,1,3
46,453027,221464,0.489,10,0,806395,3,1,0
30,124573,41586,0.334,11,2,771954,0,1,4
33,222846,11090,0.05,22,0,257218,2,1,2
36,77108,26508,0.344,18,1,36668,5,0,1
18,386824,152979,0.395,26,1,51745,0,1,3
64,418456,179293,0.428,15,1,936766,4,0,1
53,230176,132600,0.576,3,0,743091,5,0,0
19,167820,9621,0.057,27,2,922630,2,1,4
63,468874,43638,0.093,28,0,118033,1,1,0
54,161339,95825,0.594,7,0,574736,5,1,0
61,286776,109592,0.382,13,0,632387,1,1,0
64,46069,19369,0.42,15,0,23275,2,1,1
54,214053,89659,0.419,26,1,912826,2,1,2
39,136421,6605,0.048,23,1,187210,5,0,1
48,498871,163518,0.328,9,2,523138,2,0,3
28,142883,5117,0.036,17,1,799666,5,1,3
32,30954,11316,0.366,12,0,137541,1,1,1
29,409678,72584,0.177,26,1,241983,5,1,2
28,52254,11988,0.229,11,2,282272,5,1,3
54,128872,24216,0.188,9,2,93070,5,1,2
47,62078,12984,0.209,5,1,536507,3,1,1
18,156487,41159,0.263,22,0,532295,2,1,2
31,443739,93861,0.212,3,0,539812,4,0,0
42,34060,6065,0.178,25,1,829735,5,1,2
55,484736,223134,0.46,15,0,150168,0,1,1
57,112263,9018,0.08,7,2,565445,5,1,1
25,470035,272552,0.58,20,1,402662,2,1,4
54,52154,22334,0.428,1,1,854211,5,1,0
22,263322,51197,0.194,6,0,154782,3,1,1
25,84772,19382,0.229,4,0,282753,2,1,2
53,406858,135330,0.333,5,2,388349,1,1,2
43,96077,29938,0.312,12,1,206988,5,0,0
50,208014,96751,0.465,28,2,695275,3,1,3
48,129945,60176,0.463,22,2,498716,5,1,4
39,198954,18718,0.094,1,1,284260,4,0,0
18,120158,58173,0.484,23,2,906151,4,1,4
26,77545,44224,0.57,21,1,13224,2,1,4
19,28070,16473,0.587,27,1,298512,2,0,3
